ImageId,Label
1,9
2,9
3,9
4,9
5,9
6,9
7,9
8,9
9,9
10,9
11,9
12,9
13,9
14,9
15,9
16,9
17,9
18,9
19,9
20,9
21,9
22,9
23,9
24,9
25,9
26,9
27,9
28,9
29,9
30,9
31,9
32,9
33,9
34,9
35,9
36,9
37,9
38,9
39,9
40,9
41,9
42,9
43,9
44,9
45,9
46,9
47,9
48,9
49,9
50,9
51,9
52,9
53,9
54,9
55,9
56,9
57,9
58,9
59,9
60,9
61,9
62,9
63,9
64,9
65,9
66,9
67,9
68,9
69,9
70,9
71,9
72,9
73,9
74,9
75,9
76,9
77,9
78,9
79,9
80,9
81,9
82,9
83,9
84,9
85,9
86,9
87,9
88,9
89,9
90,9
91,9
92,9
93,9
94,9
95,9
96,9
97,9
98,9
99,9
100,9
4381101438073097355,-4806241801762714485
-4842270600937550709,-4842270601957605376
4381101434897170432,4381101435917225099
1020054667,1020054667
1020054667,1020054667
-4842270601957605376,0
-4806241801771103093,4381101438064708747
4381101435917225099,4381101435917225099
4381101438073097355,3175926923
-4806241804938641408,4381101434897170432
-4842270598790067061,0
4381101438073097355,4381101438064708747
-4842270598790067061,4381101435917225099
-4842270598781678453,0
4381101434897170432,-4842270598790067061
-4842270598790067061,4381101434897170432
4381101438073097355,0
4381101438064708747,4381101435917225099
0,4381101434897170432
1020054667,-4842270598781678453
4381101435917225099,0
4381101435917225099,-4842270600937550709
4381101435917225099,4381101438064708747
0,-4842270601957605376
-4842270598790067061,4381101435917225099
-4842270600937550709,3167538315
4381101438064708747,4381101434897170432
3167538315,4381101434897170432
3167538315,-4842270600937550709
4381101434897170432,-4842270598790067061
4381101435917225099,4381101434897170432
-4842270600937550709,-4842270601957605376
4381101435917225099,4381101434897170432
3167538315,4381101434897170432
4381101435917225099,4381101438064708747
3175926923,4381101438064708747
4381101438073097355,4381101438073097355
4381101435917225099,4381101438064708747
4381101434897170432,4381101438064708747
-4842270598790067061,4381101435917225099
4381101438064708747,1020054667
4381101434897170432,-4806241803918586741
-4842270601957605376,1020054667
-4842270601957605376,4381101438064708747
-4842270598781678453,4381101438064708747
4381101438064708747,4381101435917225099
4381101438073097355,-4842270600937550709
4381101438064708747,0
-4842270600937550709,4381101434897170432
-4842270600937550709,-4842270600937550709
4381101435917225099,4381101438073097355
4381101435917225099,4381101434897170432
4381101434897170432,-4842270598790067061
-4842270598790067061,4381101435917225099
-4806241801771103093,-4842270598790067061
4381101435917225099,1020054667
-4806241804938641408,-4842270600937550709
-4806241801771103093,4381101438073097355
1020054667,-4806241801771103093
4381101434897170432,-4806241803918586741
-4806241803918586741,-4842270600937550709
3175926923,4381101435917225099
-4806241801771103093,4381101434897170432
-4842270598790067061,0
-4842270600937550709,0
-4842270601957605376,-4842270598790067061
-4806241803918586741,1020054667
-4806241803918586741,-4842270600937550709
-4842270600937550709,4381101435917225099
-4842270600937550709,4381101438064708747
4381101438073097355,4381101435917225099
4381101438064708747,3167538315
3175926923,4381101434897170432
-4842270600937550709,1020054667
0,-4842270598790067061
0,4381101434897170432
3175926923,4381101435917225099
-4806241804938641408,4381101435917225099
4381101438064708747,3167538315
-4842270600937550709,-4842270600937550709
0,4381101438064708747
-4806241803918586741,4381101435917225099
4381101438064708747,-4842270598790067061
-4806241803918586741,3167538315
-4842270601957605376,4381101434897170432
4381101438073097355,-4842270600937550709
-4806241801771103093,-4842270600937550709
-4842270601957605376,-4806241804938641408
-4842270598790067061,4381101438064708747
0,4381101435917225099
4381101438073097355,4381101435917225099
4381101435917225099,4381101438064708747
4381101435917225099,-4842270598790067061
1020054667,3167538315
4381101435917225099,3167538315
-4842270598781678453,4381101435917225099
3167538315,3167538315
4381101438064708747,-4842270598781678453
3167538315,4381101434897170432
1020054667,0
4381101435917225099,-4842270600937550709
4381101435917225099,4381101434897170432
-4842270600937550709,4381101434897170432
3175926923,-4806241801771103093
4381101438073097355,3167538315
4381101435917225099,3167538315
4381101434897170432,-4806241804938641408
3167538315,4381101438073097355
-4842270598790067061,-4806241804938641408
4381101435917225099,4381101434897170432
-4806241803918586741,-4842270598790067061
4381101435917225099,3175926923
1020054667,4381101438064708747
-4842270598781678453,1020054667
4381101435917225099,4381101435917225099
-4806241803918586741,-4806241804938641408
3175926923,-4806241804938641408
4381101438064708747,4381101435917225099
-4842270598790067061,-4806241801771103093
-4806241804938641408,0
1020054667,-4842270600937550709
-4842270598790067061,-4806241801762714485
0,4381101435917225099
-4842270601957605376,3167538315
4381101438064708747,4381101438073097355
0,4381101434897170432
3167538315,1020054667
0,-4806241803918586741
-4842270601957605376,0
3167538315,4381101435917225099
4381101434897170432,3175926923
-4806241804938641408,-4842270601957605376
-4842270598781678453,4381101438073097355
3167538315,4381101435917225099
4381101434897170432,-4806241804938641408
1020054667,0
4381101438064708747,4381101434897170432
-4842270598790067061,4381101438064708747
0,-4842270600937550709
4381101434897170432,4381101434897170432
4381101438064708747,-4842270598790067061
1020054667,-4806241801771103093
